"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"npz6.12","Labridae","Thalassoma","lutescens",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Lethrinidae","Lethrinus","nebulosus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Lutjanidae","Pristipomoides","typus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Monacanthidae","Eubalichthys","caeruleoguttatus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Monacanthidae","Nelusetta","ayraud",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Mullidae","Parupeneus","chrysopleuron",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Mullidae","Parupeneus","spilurus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Muraenidae","Gymnothorax","nudivomer",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Muraenidae","Gymnothorax","woodwardi",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Orectolobidae","Orectolobus","hutchinsi",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Ostraciidae","Tetrosomus","reipublicae",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Pinguipedidae","Parapercis","haackei",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Pomacanthidae","Chaetodontoplus","personifer",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Pomacanthidae","Pomacanthus","semicirculatus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Pomacentridae","Parma","mccullochi",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
